from,to,relationship,time
AK,sonybmgmusicentertainment,5,2003
AK,worldidol,4,2003
AK,musical,8,2006
AK,annaunddieliebe,8,2008
AK,goldschlager,6,2013
AK,letsdance,1,2014
JS,sonybmgmusicentertainment,5,2003
JS,dassupertalent,4,2012
JS,musicacademykoelnsued,7,2013
DK,dschungelcamp,3,2004
DK,danielderzauberer,8,2004
DK,bigbrother,4,2005
DK,dasperfektepromidinner,4,2010
DK,küblböcktalknight,6,2010
DK,letsdance,4,2014
DK,verrücktnachfluss,8,2016
LH,wildandyoungaward,1,2012
LH,gloryaward,1,2012
LH,bravootto,2,2012
LH,swissmusicaward,1,2013
LH,swissmusicaward,4,2014
LH,nickelodeonkindschoiceawards,1,2013
LH,nickelodeonkindschoiceawards,1,2014
LH,echo,4,2013
LH,styleaward,1,2014
LH,napsterfanpreis,4,2013
LH,bravootto,3,2014
LH,alcatelfanpreis,1,2016
LH,hollywoodmusicinmediaawards,1,2015
LH,prixwalo,1,2013
EE,gecastet,9,2011
EE,musiklehrerin,7,2015
EE,lossmersinge,4,2016
DT,hausfrau,12,NA
PB,luckysong,5,2006
PB,wahrheit,10,2007
PB,bisou,11,2007
PB,himmelundhuhn,10,2007
PB,jimmiblueochsenknecht,11,2008
PB,wilsongonzalezochsenknecht,11,2008
PB,kayone,11,2010
PB,dsds,12,2015
PB,PL,11,2019
TR,straight,10,2007
TR,radiobob,6,2010
TR,kurzunsterblich,10,2010
TR,akustisch,10,2011
TR,besserjetzt,10,2013
TR,gitarrenkurse,7,2013
TR,therockyhorrorshow,8,2014
MLG,tatort,8,2006
MLG,antenneac,12,2009
MLG,flaschensammler,12,2010
MLG,ffn,6,2011
MLG,textilunternehmen,12,2012
VJD,recallstars,10,2008
VJD,merrychristmas,10,2008
MM,letsdance,10,2007
MM,wettendass,12,2007
MM,dreamcatcher,10,2007
MM,ehrlich,9,2007
MM,clouddancer,10,2008
MM,diesingendefirma,12,2008
MM,clubtropicana,10,2009
MM,rainbowsend,10,2010
MM,MMA,10,2010
MM,myworld,10,2012
MM,blackfeatherrecords,12,2013
MM,imnebel,10,2014
MM,zwischenwelten,10,2017
MS,deinechance,4,2008
MS,recallstars,10,2008
MS,merrychristmas,10,2008
MS,dasperfektepromidinner,4,2009
LB,gutezeitenschlechtezeiten,8,2007
LB,dschungelcamp,4,2008
LB,dasperfektepromidinner,4,2008
LB,dieultimativechartshow,12,2009
LB,rpr1,6,2008
LB,dasperfektepromidinner,4,2011
LB,bigbrother,4,2011
TG,sonybmgmusicentertainment,5,2008
TG,richtungg,10,2009
TG,sogewollt,10,2011
TG,liveausmpott,10,2012
TG,männersindso,10,2013
TG,v,10,2014
TG,vstärkeraus,10,2015
TG,mundwerk,10,2016
TG,13pfeile,10,2018
TG,carlsenverlag,12,2013
TG,vstärkerausshow,6,2013
TG,tomzilla,12,2015
FA,columbiarecords,5,2008
FA,intothelight,10,2010
FA,indigo,10,2017
FA,wennesumunsstillwird,10,2013
LT,sonybmgmusicentertainment,5,2008
LT,alarmfürcobra11,8,2009
LT,rennschweinrudirüssel,8,2008
LT,dasperfektepromidinner,4,2009
LT,thewinneris,2,2012
LT,promishoppingqueen,4,2015
LT,petermaffayband,10,2013
LT,tabaluga,10,2016
LT,fullstop,10,2017
LT,vorentscheidesc,4,2019
DS,dsds,4,2008
DS,sonybmgmusicentertainment,5,2009
DS,werwirdmillionär,4,2009
DS,viva,4,2009
DS,johannesbkerner,4,2009
DS,csidentäternaufderspur,12,2009
DS,nothingtolose,10,2010
DS,losemyselfinthemusic,12,2012
DS,diversity,10,2013
DS,youwantit,10,2016
DS,losecontrol,10,2014
SK,313music,5,NA
SK,universalmusicdomestic,5,NA
SK,werwirdmillionär,4,2009
SK,viva,4,2009
SK,johannesbkerner,4,2009
SK,bayerischersportpreis,10,2009
SK,csidentäternaufderspur,12,2009
AE,thedome,6,2009
AE,ottokatalog,12,2009
AE,gutezeitenschlechtezeiten,8,2009
AE,artistadvice,5,NA
AE,kristinabach,5,2010
AE,dasperfektepromidinner,4,2010
AE,alarmfürcobra11,8,2010
AE,promishoppingqueen,4,2014
AE,taff,4,2016
AE,radiopaloma,6,2011
AE,palmrecords/sonymusic,5,NA
AE,barfußdurchberlin,10,2013
AE,neonlicht,10,2015
AE,radiob2,6,NA
AE,vomgeistderweihnacht,8,2015
AE,vomgeistderweihnacht,8,2016
AE,schlagerbereich,11,NA
MMA,sonybmgmusicentertainment,5,2010
MMA,thedome,6,2010
MMA,mehrzadsartofdance,12,2011
MMA,pobo44,12,2011
MMA,changeup,10,2011
MMA,m8,12,2012
MMA,entfesseltundfrei,10,2014
MF,dsds,4,2005
MF,richardlugner,5,2010
MF,promibigbrother,2,2015
MF,völkerballmeisterschaft,4,2016
MF,bewährungsstrafe,12,2011
MF,haft,12,2017
MH,theunited,10,2010
MH,haft,12,2018
PL,sonybmgmusicentertainment,5,2011
PL,dsds,12,2019
PL,pietrostyle,10,2011
PL,dreamteam,10,2013
PL,clashboombang,4,2013
PL,dervipbus,4,2013
PL,familienduell,4,2014
PL,tvtotalturmspringen,4,2014
PL,sarahpietro...,12,2015
PL,sarahpietro...,12,2015
PL,sarahpietro...,12,2016
PL,sarahpietro...,12,2016
PL,grilldenhenssler,4,2017
PL,globalgladiators,4,2017
PL,teilvonmir,10,2016
PL,heldenpapaimkrümelchaos,9,2018
PL,senorita,10,2017
SL,dsds,4,2009
SL,dsds,4,2010
SL,starrace,4,2012
SL,dreamteam,10,2013
SL,clashboombang,4,2013
SL,dervipbus,4,2013
SL,familienduell,4,2014
SL,teilvonmir,10,2016
SL,sarahpietro...,12,2015
SL,sarahpietro...,12,2015
SL,sarahpietro...,12,2016
SL,sarahpietro...,12,2016
SL,letsdance,2,2016
SL,grilldenhenssler,4,2017
SL,promishoppingqueen,4,2017
SL,dasgroßepromibacken,1,2018
SL,zurückzumir,10,2018
SL,fortboyard,4,2018
SL,ninjawarriorgermany,4,2018
SL,dancingonice,1,2019
SL,curvysupermodeldasmagazin,6,2018
SL,sarahdasgroßeinterview,12,2017
SL,schlagdenstar,4,2018
AB,firstlovemusic,5,2011
AB,famefabrik,5,2011
AB,grooveattackvertrag,5,2011
AB,letsdance,4,2012
AB,festivaliikenges,10,2012
AB,ardicted,10,2015
AB,hoba,12,2015
AB,melodia,10,2017
AG,florist,12,2014
VG,dassupertalent,3,2007
VG,mynameis,4,2012
DC,takeyourchance,6,2015
DC,connectingmindsmusic,5,2016
MA,systemgastronomie,12,2014
RB,fastfoodkette,12,2013
LW,hitradiortlsachsen,12,2014
LW,williederweihnachtsstollen,8,2013
LW,duschdichzumsuperstar,9,2015
JR,eurovisionsongcontest,4,2013
JR,7music,5,2013
JR,diegeissens,4,2013
JR,circus,10,2014
JR,h2ustudios,12,2015
JR,theacoustivalbum,10,2013
JR,grooveattack,10,2014
JR,secretoflive,10,2017
DN,bulletproof,10,2013
DN,breathing,10,2018
DN,napsterfanpreis,1,2012
DN,echo,4,2013
DN,goldenerpinguin,1,2013
DN,dudemusikmagazinpreis,1,2013
DN,nickelodeonkindschoiceawards,4,2013
DN,bravootto,1,2013
DN,bravootto,1,2014
DN,napsterfanpreis,4,2013
DN,nickelodeonkindschoiceawards,4,2014
DN,cashcrash,4,2013
DN,wokwm,4,2014
DN,wokwm,4,2015
DN,köln50667,4,2016
DN,dschungelcamp,2,2018
DN,dasperfektepromidinner,4,2018
DN,lassdichüberwachendieprismisadancershow,4,2018
DN,lukediewocheundich,4,2018
DN,universalmusicdomestic,5,2012
DN,negroniliveundcrazy,10,2012
DN,thankyoutothefans,10,2013
DN,dsdsliveontour,10,2014
SS,subsidiumev,12,2016
SS,universalmusicdomestic,5,2015
AS,dsdsliveontour,4,2014
AS,justme,10,2014
AS,eurovisionsongcontest,4,2017
BE,universalmusicdomestic,5,2013
BE,dassupertalent,4,2013
BE,unteruns,4,2013
BE,festedervolksmusik,4,2013
BE,willkommenbeicarmennebel,4,2013
BE,zdffernsehgarten,4,2013
BE,immerwiedersonntags,4,2013
BE,riverboat,4,2013
BE,diegoldenehenne,4,2014
BE,zimmerfrei,4,2015
BE,meineschlagerweltdiepartymitrossantony,4,2015
BE,einfruehlingstaginrom,6,2015
BE,meineschweizmeinemusik,12,2015
BE,diegrosseshowdertraeume,6,2015
BE,einherbsttaginstockholm,6,2015
BE,vollekanne,4,2016
BE,einfruehlingstaginvenedig,6,2016
BE,fragdochmaldiemaus,4,2016
BE,musikfuersie,4,2016
BE,markuslanz,4,2016
BE,einherbsttaginwien,12,2016
BE,schlagereinerstadt,4,2016
BE,bettinaundbommes,4,2016
BE,wenndiemusispielt,4,2017
BE,schlagerundmeer,4,2017
BE,schlagerimschnee,4,2017
BE,mdrum4,4,2017
BE,klickimaugenblick,12,2017
BE,einfruehlingstaginderschweiz,6,2017
BE,dieterbohlendiemegashow,4,2017
BE,schlagerammeer,4,2017
BE,wenndiemusispielt,4,2018
BE,klubbb3,4,2018
BE,sturmderliebe,12,2018
BE,genialdaneben,4,2018
BE,echo,1,2014
BE,prixwalo,1,2014
BE,swissmusicaward,1,2015
BE,swissmusicaward,1,2017
BE,smago,1,2017
BE,smago,1,2019
BE,feuerundflamme,10,2011
BE,gluecksgefuehle,10,2013
BE,purelebensfreude,10,2013
BE,bishierherundvielweiter,10,2014
BE,klickimaugenblick,10,2016
BE,wohlfuehlgarantie,10,2018
BE,sagmirwowohnendieengel,10,2007
BE,wennderhimmelessowill,10,2008
LH,mynameisluca,10,2012
LH,livinghtedream,10,2013
LH,danceuntilwedie,10,2014
LH,whenwewakeup,10,2015
LH,eurovisionsongcontest,4,2019
LH,lucahaenniundband,12,2012
LH,thankyoutothefans,12,2013
LH,livinghtedreamtour,12,2013
LH,whenwewakeuptour,12,2015
LH,herrenwaeschemarke,12,2012
LH,bravothehits,6,2012
LH,wokwm,4,2013
LH,derbesuchderaltendame,8,2013
LH,saltonatale,10,2013
LH,dkms,12,2013
LH,ensemble,12,2014
LH,kampfderorchester,1,2014
LH,metroboutique,12,2016
LH,sing,12,2016
LH,eurovisionsongcontest,6,2017
LH,dancedancedance,1,2016