id,name,sex,age,staffel,fans,type
AK,Alexander Klaws,1,36,1,97000,1
sonybmgmusicentertainment,Plattenvertrag,NA,NA,NA,1700000,0
show,World Idol,NA,NA,NA,NA,0
musical,Musical,NA,NA,NA,NA,0
annaunddieliebe,Soap,NA,NA,NA,253,0
show,goldschlager,NA,NA,NA,NA,0
letsdance,Let's Dance,NA,NA,NA,422465,0
JS,Juliette Schoppmann,2,38,1,13000,1
dassupertalent,Das Supertalent,NA,NA,NA,890000,0
musicacademykoelnsued,Musikschule,NA,NA,NA,830,0
DK,Daniel Küblböck,1,33,1,NA,1
dschungelcamp,Dschungelcamp,NA,NA,NA,1200000,0
danielderzauberer,Film,NA,NA,NA,NA,0
bigbrother,Big Brother,NA,NA,NA,545000,0
dasperfektepromidinner,Das perfekte Promidinner,NA,NA,NA,NA,0
küblböcktalknight,Eigene Sendung,NA,NA,NA,NA,0
verrücktnachfluss,Soap,NA,NA,NA,3600,0