id,name,sex,age,fans,type
AK,Alexander Klaws,1,36,97000,0
DSDS,Deutschland sucht den Superstar,NA,16,1300000,1
Sony BMG Music Entertainment,Sony BMG Music Entertainment,NA,NA,1700000,1
World Idol,Show World Idol,NA,NA,NA,1
Musical,Musical,NA,NA,NA,1
Anna und die Liebe,Fernsehsendung Anna und die Liebe,NA,NA,NA,1
Goldschlager – Die Hits der Stars,Fernsehsendung Goldschlager,NA,NA,NA,1
Let's Dance,Fernsehsendung Let's Dance,NA,NA,400000,1
JS,Juliette Schoppmann,2,38,13000,0
Das Supertalent,Fernsehsendung Das Supertalent,NA,NA,890000,1
Music Academy Köln Süd,Music Academy Köln Süd,NA,NA,830,1
DK,Daniel Küblböck,1,33,NA,0
Dschungelcamp,Ich bin ein Star - holt mich hier raus!,NA,NA,1200000,1
Daniel der Zauberer,"Serie Daniel, der Zauberer",NA,NA,NA,1
Big Brother,Fernsehsendung Big Brother,NA,NA,9000,1
Das perfekte Promidinner,Das perfekte Promidinner,NA,NA,NA,1
Küblböck Talk Night,Internetshow Küblböck Talk Night,NA,NA,NA,1
Verrückt nach Fluss,Fernsehsendung Verrückt nach Fluss,NA,NA,3600,1